ats_struttura;codice_struttura_di_ricovero;descrizione_struttura_di_ricovero;coordinata_geografica_x;coordinata_geografica_y;codice_disciplina;descrizione_disciplina;tipologia_assistenza;tipo_drg;codice_drg;descrizione_drg;codice_mdc;descrizione_mdc;totale_ricoveri;ricoveri_do;ricoveri_ordinari_01_giorni;ricoveri_dh;ricoveri_ds;giornate_degenza_do;accessi_dh;accessi_ds;giornate_degenza_totali;dimissioni_volontarie;trasferimenti;ricoveri_ripetuti;ritorni_in_sala_operatoria
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;076;ALTRI INT. SU APP. RESPIRATORIO CON CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;3;0;0;0;3;0;0;3;3;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;210;INT.ANCA,FEMORE ESCL.ARTICOL.MAGG.,ETA'>17 CON CC;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;55;55;0;0;0;561;0;0;561;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;227;INT. SU TESSUTI MOLLI SENZA CC;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;69;40;23;0;29;63;0;29;92;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;082;NEOPLASIE APP. RESPIRATORIO;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;4;4;0;0;0;35;0;0;35;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;552;ALTRO IMPIANTO PACEMAKER CARDIACO PERM SENZA DIAGNOSI CARDIOVASCOLARE MAGGIORE;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;56;56;0;0;0;257;0;0;257;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;225;INT. SUL PIEDE;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;109;91;80;0;18;102;0;18;120;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;07;CARDIOCHIRURGIA;A;C;104;INT. VALVOLE CARDIACHE CON CATETERISMO CARDIACO;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;11;11;0;0;0;182;0;0;182;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;086;VERSAMENTO PLEURICO SENZA CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;13;13;0;0;0;87;0;0;87;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;56;RECUPERO E RIABILITAZIONE FUNZIONALE;R;M;127;INSUFFICIENZA CARDIACA E SHOCK;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;10;10;0;0;0;130;0;0;130;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;174;EMORRAGIA GASTROINTESTINALE CON CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;20;20;1;0;0;121;0;0;121;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;079;INFEZ. E INFIAMM. RESPIRATORIE, ETA' > 17 CON CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;4;4;0;0;0;43;0;0;43;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;M;090;POLMONITE SEMPLICE E PLEURITE, ETA' > 17 SENZA CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;9;9;0;0;0;59;0;0;59;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;43;UROLOGIA;A;M;323;CALCOLOSI URINARIA CON CC E/O LITOTRIPSIA (ESWL);11;MALATTIE E DISTURBI RENE E VIE URINARIE;257;54;9;203;0;176;203;0;379;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;14;CHIRURGIA VASCOLARE;A;C;479;ALTRI INT. VASCOLARI SENZA CC;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;142;142;12;0;0;551;0;0;551;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;087;EDEMA POLMONARE E INSUFF. RESPIRATORIA;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;13;13;0;0;0;159;0;0;159;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;569;INT MAGG SU INTESTINO CRASSO E TENUE CON CC CON DIA GASTROINTESTINALE MAGG;06;MALATTIE E DISTURBI APPARATO DIGERENTE;16;16;0;0;0;341;0;0;341;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;493;COLECISTECTOMIA LAPAR. SNZ. ESP. DOTTO COM. CON CC;07;MALATTIE E DISTURBI EPATOBILIARI E PANCREAS;25;25;0;0;0;291;0;0;291;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;118;SOSTITUZIONE DI PACEMAKER CARDIACO;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;33;32;8;0;1;67;0;1;68;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;110;INT. MAGGIORI SU SIST. CARDIOVASCOLARE CON CC;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;4;4;2;0;0;38;0;0;38;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;518;INT. S CARDVSC PERC. SNZ STENT ARTERCORON. O IMA;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;2;2;0;0;0;4;0;0;4;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;43;UROLOGIA;A;C;311;INT. PER VIA TRANSURETRALE SENZA CC;11;MALATTIE E DISTURBI RENE E VIE URINARIE;2;1;0;0;1;2;0;1;3;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;07;CARDIOCHIRURGIA;A;C;108;ALTRI INT. CARDIOTORACICI;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;2;2;0;0;0;25;0;0;25;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;149;INT. MAGGIORI INTESTINO CRASSO E TENUE SENZA CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;3;3;0;0;0;21;0;0;21;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;461;INT. CON DIA. DI ALTRO CONTATTO CON SERVIZI SANIT.;23;FATTORI INFLUENZANTI LO STATO DI SALUTE ED IL RICORSO AI SERVIZI SANITARI;25;25;20;0;0;34;0;0;34;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;M;572;MALATTIE GASTROINTESTINALI MAGGIORI E INFEZIONI PERITONEALI;06;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;6;0;0;6;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;576;SETTICEMIA SENZA VENTILAZIONE MECCANICA  = 96 ORE, ETÀ > 17 ANNI;18;MALATTIE INFETTIVE E PARASSITARIE;8;8;0;0;0;146;0;0;146;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;43;UROLOGIA;A;C;359;INT. UTERO E ANNESSI NON PER T.M. SENZA CC;13;MALATTIE E DISTURBI APPARATO RIPRODUTTIVO FEMMINILE;5;5;0;0;0;38;0;0;38;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;080;INFEZ. E INFIAMM. RESPIRATORIE, ETA' > 17 SENZA CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;4;0;0;4;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;193;INT. SU VIE BILIARI ESCL. COLECISTECTOMIA CON CC;07;MALATTIE E DISTURBI EPATOBILIARI E PANCREAS;2;2;0;0;0;37;0;0;37;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;14;CHIRURGIA VASCOLARE;A;C;577;INSERZIONE DI STENT CAROTIDEO;01;MALATTIE E DISTURBI SISTEMA NERVOSO;19;19;0;0;0;60;0;0;60;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;408;ALTERAZ. MIELOPROLIF.,ETC. CON ALTRI INTERVENTI;17;MALATTIE E DISTURBI MIELOPROLIFERATIVI E NEOPLASIE SCARSAMENTE DIFFERENZIATE;2;0;0;0;2;0;0;2;2;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;M;172;T.M. APP. DIGERENTE CON CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;5;5;0;0;0;68;0;0;68;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;568;INT ESOFAGO, STOMACO E DUODENO, ETÀ > 17 ANNI CON CC SENZA DIA GASTROINTEST MAGG;06;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;39;0;0;39;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;M;189;ALTRE DIA. APP. DIGERENTE, ETA' > 17 SENZA CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;5;0;0;5;0;0;5;0;5;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;493;COLECISTECTOMIA LAPAR. SNZ. ESP. DOTTO COM. CON CC;07;MALATTIE E DISTURBI EPATOBILIARI E PANCREAS;11;11;0;0;0;116;0;0;116;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;M;131;MAL. VASCOLARI PERIFERICHE SENZA CC;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;2;2;0;0;0;11;0;0;11;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;569;INT MAGG SU INTESTINO CRASSO E TENUE CON CC CON DIA GASTROINTESTINALE MAGG;06;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;25;0;0;25;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;M;078;EMBOLIA POLMONARE;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;18;18;0;0;0;119;0;0;119;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;440;SBRIGLIAMENTO DI FERITE PER TRAUMATISMO;21;TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI;3;3;0;0;0;21;0;0;21;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;C;443;ALTRI INT. CHIR. PER TRAUMATISMO SENZA CC;21;TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI;3;3;0;0;0;16;0;0;16;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;008;INT. SU NERVI E ALTRI INT. SIST. NERVOSO SENZA CC;01;MALATTIE E DISTURBI SISTEMA NERVOSO;1;1;1;0;0;1;0;0;1;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;551;IMP. PACEMAKER CARD. PERM DIA CARDIOV. MAGG. O DEFIBR (AICD) O GEN. DI IMPULSI;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;35;35;4;0;0;92;0;0;92;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;C;192;INT. SU PANCREAS, FEGATO E DI SHUNT SENZA CC;07;MALATTIE E DISTURBI EPATOBILIARI E PANCREAS;1;1;0;0;0;3;0;0;3;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;13;CHIRURGIA TORACICA;A;C;075;INT. MAGGIORI SUL TORACE;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;6;6;0;0;0;46;0;0;46;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;234;ALTRI INT. SIST. MUSCOLOSCHEL. E CONNETT. SENZA CC;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;6;6;2;0;0;18;0;0;18;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;210;INT.ANCA,FEMORE ESCL.ARTICOL.MAGG.,ETA'>17 CON CC;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;9;9;0;0;0;108;0;0;108;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;229;INT. MANO O POLSO ESCL. MAGG.SU ARTICOLAZ.SENZA CC;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;6;2;2;0;4;2;0;4;6;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;150;LISI DI ADERENZE PERITONEALI CON CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;11;0;0;11;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;M;141;SINCOPE E COLLASSO CON CC;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;4;4;1;0;0;25;0;0;25;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;64;ONCOLOGIA;A;M;172;T.M. APP. DIGERENTE CON CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;25;0;0;25;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;07;CARDIOCHIRURGIA;A;C;105;INT. VALVOLE CARDIACHE SENZA CATETERISMO CARDIACO;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;9;9;0;0;0;119;0;0;119;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;577;INSERZIONE DI STENT CAROTIDEO;01;MALATTIE E DISTURBI SISTEMA NERVOSO;8;8;0;0;0;56;0;0;56;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;162;INT. ERNIA INGUINALE E FEMORALE, ETA' >17 SENZA CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;335;137;122;0;198;166;0;198;364;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;080;INFEZ. E INFIAMM. RESPIRATORIE, ETA' > 17 SENZA CC;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;10;0;0;10;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;146;RESEZIONE RETTALE CON CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;8;8;0;0;0;149;0;0;149;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;443;ALTRI INT. CHIR. PER TRAUMATISMO SENZA CC;21;TRAUMATISMI, AVVELENAMENTI ED EFFETTI TOSSICI DEI FARMACI;11;9;4;0;2;30;0;2;32;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;518;INT. S CARDVSC PERC. SNZ STENT ARTERCORON. O IMA;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;20;20;1;0;0;75;0;0;75;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;566;DIAGNOSI RELATIVE ALL'APPARATO RESPIRATORIO CON RESPIRAZIONE ASSISTITA < 96 ORE;04;MALATTIE E DISTURBI APPARATO RESPIRATORIO;5;5;0;0;0;103;0;0;103;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;225;INT. SUL PIEDE;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;5;5;1;0;0;17;0;0;17;0;0;0;0
325 - ATS DI BERGAMO;030143-00;HUMANITAS GAVAZZENI;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;158;INT. SU ANO E STOMA SENZA CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;1;0;0;4;0;0;4;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;225;INT. SUL PIEDE;08;MALATTIE E DISTURBI APPARATO OSTEOMUSCOLARE E TESSUTO CONNETTIVO;7;7;6;0;0;8;0;0;8;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;08;CARDIOLOGIA;A;C;557;INT SISTEMA CARDIOVASC VIA PERCUTANEA CON STENT MED CON DIA CARDIOVASC MAGG;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;69;69;0;0;0;416;0;0;416;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;26;MEDICINA GENERALE;A;M;143;DOLORE TORACICO;05;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;3;3;0;0;0;19;0;0;19;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;171;ALTRI INT. SU APP. DIGERENTE SENZA CC;06;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;8;0;0;8;0;0;0;0
325 - ATS DI BERGAMO;030143-00;CLINICHE GAVAZZENI SPA - BERGAMO;45.68890477;9.678665493;09;CHIRURGIA GENERALE;A;C;570;INT MAGG SU INTESTINO CRASSO E TENUE CON CC SENZA DIA GASTROINTESTINALE MAGG;06;MALATTIE E DISTURBI APPARATO DIGERENTE;30;30;0;0;0;430;0;0;430;0;0;0;0
