anno;ats_struttura;codice_struttura_di_ricovero;descrizione_struttura_di_ricovero;coordinata_geografica_x;coordinata_geografica_y;codice_disciplina;descrizione_disciplina;tipologia_assistenza;tipo_drg;codice_drg;descrizione_drg;codice_acc_di_diagnosi;descrizione_acc_di_diagnosi;codice_mdc;descrizione_mdc;totale_ricoveri;ricoveri_do;ricoveri_ordinari_01_giorni;ricoveri_dh;ricoveri_ds;giornate_degenza_do;accessi_dh;accessi_ds;giornate_degenza_totali;dimissioni_volontarie;trasferimenti;ricoveri_ripetuti;ritorni_in_sala_operatoria
2013;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;26;MEDICINA GENERALE;A;M;172;T.M. APP. DIGERENTE CON CC;14;TUMORI MALIGNI DEL COLON;6;MALATTIE E DISTURBI APPARATO DIGERENTE;4;4;0;0;0;46;0;0;46;0;0;0;0
2013;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;26;MEDICINA GENERALE;A;M;127;INSUFFICIENZA CARDIACA E SHOCK;249;SHOCK;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;10;10;4;0;0;57;0;0;57;0;0;0;0
2012;324 - ATS DELLA BRIANZA;030034-00;CASA DI CURA G.B. MANGIONI - LECCO;45.85028614;9.388156645;26;MEDICINA GENERALE;A;M;426;NEVROSI DEPRESSIVE;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;3;0;0;3;0;0;0;0
2012;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;37;OSTETRICIA E GINECOLOGIA;A;M;380;ABORTO SENZA D&C;178;ABORTO INDOTTO;14;GRAVIDANZA, PARTO E PUERPERIO;2;2;0;0;0;6;0;0;6;0;0;0;0
2012;323 - ATS DELLA MONTAGNA;030274-02;OSPEDALE VALCAMONICA - EDOLO;46.17850585;10.33062365;8;CARDIOLOGIA;A;M;121;MAL.CARDIOVASC. CON IMA CON CC CARD.,VIVI;100;INFARTO MIOCARDICO ACUTO;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;3;3;0;0;0;41;0;0;41;0;0;0;0
2012;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;43;UROLOGIA;A;C;306;PROSTATECTOMIA CON CC;32;TUMORI MALIGNI DELLA VESCICA;11;MALATTIE E DISTURBI RENE E VIE URINARIE;2;2;0;0;0;9;0;0;9;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030003-00;OSPEDALE F. DEL PONTE - VARESE;45.83678354;8.80650544;37;OSTETRICIA E GINECOLOGIA;A;C;370;PARTO CESAREO CON CC;189;PREGRESSO PARTO CESAREO;14;GRAVIDANZA, PARTO E PUERPERIO;28;28;0;0;0;158;0;0;158;0;0;0;0
2014;328 - ATS DI PAVIA;030193-00;OSPEDALE CIVILE - VIGEVANO;45.32134211;8.865051428;37;OSTETRICIA E GINECOLOGIA;A;C;370;PARTO CESAREO CON CC;189;PREGRESSO PARTO CESAREO;14;GRAVIDANZA, PARTO E PUERPERIO;3;3;0;0;0;33;0;0;33;0;0;0;0
2013;326 - ATS DI BRESCIA;030366-00;DOMINATO LEONENSE SANITA' - LENO;45.36592235;10.21740019;60;LUNGODEGENTI;L;M;12;MAL. DEGENERATIVE SIST. NERVOSO;82;PARALISI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;4;4;0;0;0;75;0;0;75;0;0;0;0
2013;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;19;18;1;0;1;72;0;1;73;0;0;0;0
2013;323 - ATS DELLA MONTAGNA;030042-00;OSPEDALE SONDRIO;46.1707552;9.879429303;9;CHIRURGIA GENERALE;A;M;84;TRAUMI MAGGIORI TORACE SENZA CC;231;ALTRE FRATTURE;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;24;24;1;0;0;79;0;0;79;0;0;0;0
2013;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;34;OCULISTICA;A;C;36;INT. SU RETINA;217;ALTRE ANOMALIE CONGENITE;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;3;0;0;3;0;0;0;0
2013;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;10;CHIRURGIA MAXILLO-FACCIALE;A;C;37;INT. SU ORBITA;89;CECITA' E DIFETTI VISIVI;2;MALATTIE E DISTURBI OCCHIO;2;2;1;0;0;4;0;0;4;0;0;0;0
2013;326 - ATS DI BRESCIA;030156-00;OSPEDALE DI DESENZANO;45.4098217;10.56462005;34;OCULISTICA;A;M;47;ALTRE MAL. OCCHIO, ETA' > 17 SENZA CC;240;USTIONI;2;MALATTIE E DISTURBI OCCHIO;2;2;0;0;0;6;0;0;6;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;37;OSTETRICIA E GINECOLOGIA;A;C;370;PARTO CESAREO CON CC;189;PREGRESSO PARTO CESAREO;14;GRAVIDANZA, PARTO E PUERPERIO;6;6;0;0;0;39;0;0;39;0;0;0;0
2012;325 - ATS DI BERGAMO;030382-00;OSPEDALE M. O. ANTONIO LOCATELLI;45.89167965;9.92275865;31;NIDO;A;M;429;DISTURBI ORGANICI E RITARDO MENTALE;217;ALTRE ANOMALIE CONGENITE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;7;0;0;7;0;0;0;0
2013;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;26;MEDICINA GENERALE;A;C;506;USTIONESPESS CON TRPPELLE/LESINAL CON CC/TRAUMRIL;240;USTIONI;22;USTIONI;1;1;0;0;0;33;0;0;33;0;0;0;0
2013;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;26;MEDICINA GENERALE;A;M;421;MAL. DI ORIGINE VIRALE, ETA' > 17;7;INFEZIONI VIRALI;18;MALATTIE INFETTIVE E PARASSITARIE;12;12;0;0;0;76;0;0;76;0;0;0;0
2012;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;32;NEUROLOGIA;A;M;430;PSICOSI;659;SCHIZOFRENIA E DISTURBI CORRELATI;19;MALATTIE E DISTURBI MENTALI;4;4;0;0;0;14;0;0;14;0;0;0;0
2013;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;29;NEFROLOGIA;A;C;157;INT. SU ANO E STOMA CON CC;120;EMORROIDI;6;MALATTIE E DISTURBI APPARATO DIGERENTE;1;1;0;0;0;9;0;0;9;0;0;0;0
2014;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;40;PSICHIATRIA;A;M;426;NEVROSI DEPRESSIVE;650;DISTURBI DI ADATTAMENTO;19;MALATTIE E DISTURBI MENTALI;20;12;0;8;0;189;72;0;261;0;0;0;0
2013;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;37;OSTETRICIA E GINECOLOGIA;A;C;371;PARTO CESAREO SENZA CC;196;GRAVIDANZA E/O PARTO NORMALE;14;GRAVIDANZA, PARTO E PUERPERIO;4;4;0;0;0;32;0;0;32;0;0;0;0
2014;323 - ATS DELLA MONTAGNA;030274-01;OSPEDALE VALCAMONICA - ESINE;45.92683281;10.24320324;39;PEDIATRIA;A;M;417;SETTICEMIA, ETA' < 18;2;SETTICEMIA (ESCLUSO IN TRAVAGLIO);18;MALATTIE INFETTIVE E PARASSITARIE;5;5;1;0;0;16;0;0;16;0;0;0;0
2014;328 - ATS DI PAVIA;030193-00;OSPEDALE CIVILE - VIGEVANO;45.32134211;8.865051428;9;CHIRURGIA GENERALE;A;C;162;INT. ERNIA INGUINALE E FEMORALE, ETA' >17 SENZA CC;143;ERNIA ADDOMINALE;6;MALATTIE E DISTURBI APPARATO DIGERENTE;164;42;9;0;122;111;0;122;233;0;0;0;0
2012;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;26;MEDICINA GENERALE;A;M;84;TRAUMI MAGGIORI TORACE SENZA CC;231;ALTRE FRATTURE;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;1;1;0;0;0;7;0;0;7;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030006-00;OSP. S. ANTONIO ABATE - GALLARATE;45.6556815;8.792407598;40;PSICHIATRIA;A;M;427;NEVROSI ESCL. NEVROSI DEPRESSIVE;670;ALTRI DISTURBI;19;MALATTIE E DISTURBI MENTALI;4;4;0;0;0;38;0;0;38;0;0;0;0
2013;323 - ATS DELLA MONTAGNA;030274-01;OSPEDALE VALCAMONICA - ESINE;45.92683281;10.24320324;68;PNEUMOLOGIA;A;M;10;NEOPLASIE SIST. NERVOSO CON CC;42;TUMORI MALIGNI SECONDARI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;3;3;0;0;0;51;0;0;51;0;0;0;0
2012;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;21;GERIATRIA;A;M;134;IPERTENSIONE;98;IPERTENSIONE ESSENZIALE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;1;1;0;0;0;6;0;0;6;0;0;0;0
2015;328 - ATS DI PAVIA;030193-00;OSPEDALE CIVILE - VIGEVANO;45.32134211;8.865051428;26;MEDICINA GENERALE;A;M;142;SINCOPE E COLLASSO SENZA CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;21;21;0;0;0;198;0;0;198;0;0;0;0
2013;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;29;NEFROLOGIA;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;9;0;0;9;0;0;0;0
2015;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;37;OSTETRICIA E GINECOLOGIA;A;C;371;PARTO CESAREO SENZA CC;189;PREGRESSO PARTO CESAREO;14;GRAVIDANZA, PARTO E PUERPERIO;69;69;0;0;0;343;0;0;343;0;0;0;0
2014;328 - ATS DI PAVIA;030193-00;OSPEDALE CIVILE - VIGEVANO;45.32134211;8.865051428;37;OSTETRICIA E GINECOLOGIA;A;M;378;GRAVIDANZA ECTOPICA;180;GRAVIDANZA ECTOPICA;14;GRAVIDANZA, PARTO E PUERPERIO;12;12;1;0;0;45;0;0;45;0;0;0;0
2016;326 - ATS DI BRESCIA;030156-00;OSPEDALE DI DESENZANO;45.4098217;10.56462005;39;PEDIATRIA;A;M;98;BRONCHITE E ASMA, ETA' < 18;128;ASMA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;7;7;0;0;0;28;0;0;28;0;0;0;0
2015;326 - ATS DI BRESCIA;030161-00;PRESIDIO OSPEDALIERO DI SALO';45.60526271;10.52178742;40;PSICHIATRIA;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;127;127;1;0;0;1590;0;0;1590;0;0;0;0
2014;326 - ATS DI BRESCIA;030175-00;CASA DI CURA S. CAMILLO - BRESCIA;45.54046465;10.23159436;8;CARDIOLOGIA;A;M;12;MAL. DEGENERATIVE SIST. NERVOSO;79;MORBO DI PARKINSON;1;MALATTIE E DISTURBI SISTEMA NERVOSO;1;1;0;0;0;6;0;0;6;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030901-00;OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI;45.80802245;8.837196022;51;ASTANTERIA;A;M;430;PSICOSI;655;DISTURBI DELL'ETA' PRE ADULTA;19;MALATTIE E DISTURBI MENTALI;1;1;1;0;0;1;0;0;1;0;0;0;0
2012;322 - ATS DELL'INSUBRIA;030015-00;CASA DI CURA SANTA MARIA - CASTELLANZA;45.5994841;8.87237785;32;NEUROLOGIA;A;M;430;PSICOSI;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;7;7;1;0;0;20;0;0;20;0;0;0;0
2014;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;34;OCULISTICA;A;M;45;MAL. NEUROLOGICHE OCCHIO;91;ALTRI DISTURBI DEGLI OCCHI;2;MALATTIE E DISTURBI OCCHIO;2;2;0;0;0;11;0;0;11;0;0;0;0
2012;325 - ATS DI BERGAMO;030140-00;OSPEDALE BOLOGNINI - SERIATE;45.68364972;9.716990446;26;MEDICINA GENERALE;A;M;88;MALATTIA POLMONARE CRONICO-OSTRUTTIVA;128;ASMA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;2;2;0;0;0;16;0;0;16;0;0;0;0
2013;325 - ATS DI BERGAMO;030140-00;OSPEDALE BOLOGNINI - SERIATE;45.68364972;9.716990446;37;OSTETRICIA E GINECOLOGIA;A;M;378;GRAVIDANZA ECTOPICA;180;GRAVIDANZA ECTOPICA;14;GRAVIDANZA, PARTO E PUERPERIO;16;16;6;0;0;48;0;0;48;0;0;0;0
2014;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;39;PEDIATRIA;A;M;143;DOLORE TORACICO;102;DOLORE TORACICO NON SPECIFICO;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;2;2;0;0;0;5;0;0;5;0;0;0;0
2014;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;21;GERIATRIA;A;M;11;NEOPLASIE SIST. NERVOSO SENZA CC;42;TUMORI MALIGNI SECONDARI;1;MALATTIE E DISTURBI SISTEMA NERVOSO;2;2;0;0;0;8;0;0;8;0;0;0;0
2015;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;62;NEONATOLOGIA;A;M;98;BRONCHITE E ASMA, ETA' < 18;125;BRONCHITE ACUTA;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;5;5;0;0;0;49;0;0;49;0;0;0;0
2012;324 - ATS DELLA BRIANZA;030034-00;CASA DI CURA G.B. MANGIONI - LECCO;45.85028614;9.388156645;9;CHIRURGIA GENERALE;A;C;163;INT. ERNIA, ETA' < 18;143;ERNIA ADDOMINALE;6;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;2;0;0;2;0;0;2;0;0;0;0
2013;325 - ATS DI BERGAMO;030905-00;OSPEDALE PAPA GIOVANNI XXIII - BG;45.68701679;9.63853045;40;PSICHIATRIA;A;M;426;NEVROSI DEPRESSIVE;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;8;6;0;2;0;51;21;0;72;0;0;0;0
2014;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;36;ORTOPEDIA E TRAUMATOLOGIA;A;C;507;USTIONESPESS CON TRPPELLE/LESINAL SNZ CC/TRAUMRIL;240;USTIONI;22;USTIONI;2;0;0;0;2;0;0;2;2;0;0;0;0
2015;326 - ATS DI BRESCIA;030295-00;FONDAZIONE POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;39;PEDIATRIA;A;M;142;SINCOPE E COLLASSO SENZA CC;245;SINCOPE;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;6;6;0;0;0;18;0;0;18;0;0;0;0
2012;326 - ATS DI BRESCIA;030906-00;PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;45.55518065;10.23255305;40;PSICHIATRIA;A;M;426;NEVROSI DEPRESSIVE;657;DISTURBI DELL'UMORE;19;MALATTIE E DISTURBI MENTALI;2;2;0;0;0;19;0;0;19;0;0;0;0
2013;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;2;DAY HOSPITAL;A;M;173;T.M. APP. DIGERENTE SENZA CC;14;TUMORI MALIGNI DEL COLON;6;MALATTIE E DISTURBI APPARATO DIGERENTE;1;0;0;1;0;0;1;0;1;0;0;0;0
2014;322 - ATS DELL'INSUBRIA;030006-00;OSP. S. ANTONIO ABATE - GALLARATE;45.6556815;8.792407598;8;CARDIOLOGIA;A;M;78;EMBOLIA POLMONARE;103;MALATTIA CARDIOPOLMONARE;4;MALATTIE E DISTURBI APPARATO RESPIRATORIO;11;11;1;0;0;144;0;0;144;0;0;0;0
2014;324 - ATS DELLA BRIANZA;030909-00;OSPEDALE S.GERARDO - MONZA;45.60018518;9.258430902;68;PNEUMOLOGIA;A;M;423;ALTRE DIA. INFETTIVE E PARASSITARIE;4;MICOSI;18;MALATTIE INFETTIVE E PARASSITARIE;3;3;0;0;0;30;0;0;30;0;0;0;0
2015;328 - ATS DI PAVIA;030198-00;ISTITUTO CLINICO BEATO MATTEO;45.30665545;8.869449753;37;OSTETRICIA E GINECOLOGIA;A;C;370;PARTO CESAREO CON CC;189;PREGRESSO PARTO CESAREO;14;GRAVIDANZA, PARTO E PUERPERIO;2;2;0;0;0;10;0;0;10;0;0;0;0
2015;328 - ATS DI PAVIA;030198-00;ISTITUTO CLINICO BEATO MATTEO;45.30665545;8.869449753;37;OSTETRICIA E GINECOLOGIA;A;M;378;GRAVIDANZA ECTOPICA;180;GRAVIDANZA ECTOPICA;14;GRAVIDANZA, PARTO E PUERPERIO;2;2;0;0;0;5;0;0;5;0;0;0;0
2014;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;9;CHIRURGIA GENERALE;A;M;487;ALTRI TRAUMATISMI MULTIPLI RILEVANTI;233;TRAUMATISMO INTRACRANICO;24;TRAUMATISMI MULTIPLI;1;1;0;0;0;12;0;0;12;0;0;0;0
2012;326 - ATS DI BRESCIA;030295-00;POLIAMBULANZA - BRESCIA;45.51939749;10.23594122;31;NIDO;A;M;389;NEONATI A TERMINE CON AFFEZIONI MAGGIORI;218;NATI VIVI SANI;15;MALATTIE E DISTURBI PERIODO PERINATALE;2;2;0;0;0;15;0;0;15;0;0;0;0
2013;328 - ATS DI PAVIA;030198-00;ISTITUTO CLINICO BEATO MATTEO;45.30665545;8.869449753;26;MEDICINA GENERALE;A;M;127;INSUFFICIENZA CARDIACA E SHOCK;249;SHOCK;5;MALATTIE E DISTURBI SISTEMA CARDIOCIRCOLATORIO;1;1;0;0;0;13;0;0;13;0;0;0;0
2014;326 - ATS DI BRESCIA;030184-00;OSPEDALE DI MANERBIO;45.35666995;10.14405823;34;OCULISTICA;A;C;38;INT. PRIMARI SU IRIDE;88;GLAUCOMA;2;MALATTIE E DISTURBI OCCHIO;1;1;0;0;0;7;0;0;7;0;0;0;0
2012;322 - ATS DELL'INSUBRIA;030004-00;OSPEDALE DI CIRCOLO - BUSTO ARSIZIO;45.6213059;8.847283842;26;MEDICINA GENERALE;A;M;510;USTIONI NON ESTESE CON CC O TRAUMI RILEVANTI;240;USTIONI;22;USTIONI;1;1;0;0;0;15;0;0;15;0;0;0;0
2014;326 - ATS DI BRESCIA;030161-00;PRESIDIO OSPEDALIERO DI SALO';45.60526271;10.52178742;40;PSICHIATRIA;A;M;426;NEVROSI DEPRESSIVE;658;DISTURBI DELLA PERSONALITA';19;MALATTIE E DISTURBI MENTALI;1;1;0;0;0;11;0;0;11;0;0;0;0
2015;322 - ATS DELL'INSUBRIA;030902-00;OSPEDALE S. ANNA - COMO;45.80216962;9.039360974;9;CHIRURGIA GENERALE;A;C;157;INT. SU ANO E STOMA CON CC;120;EMORROIDI;6;MALATTIE E DISTURBI APPARATO DIGERENTE;2;2;0;0;0;13;0;0;13;0;0;0;0
2015;328 - ATS DI PAVIA;030194-00;OSPEDALE CIVILE - VOGHERA;44.99301965;9.014096301;31;NIDO;A;M;388;PREMATURIT` SENZA AFFEZIONI MAGGIORI;218;NATI VIVI SANI;15;MALATTIE E DISTURBI PERIODO PERINATALE;9;9;0;0;0;63;0;0;63;0;0;0;0
